,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0),,
asc_no_choice,0.00,NA,NA,NA,NA,NA,NA,,
b_mileage_a,-0.03,0.03,-0.83,0.41,0.04,-0.72,0.47,0.28,2829
b_mileage_b,-0.38,0.12,-3.13,0.00,0.16,-2.34,0.02,1.01,10122
b_range_year0_a,0.97,0.06,16.96,0.00,0.07,14.42,0.00,-10.68,-106821
b_range_year0_b,0.91,0.16,5.79,0.00,0.17,5.36,0.00,-2.44,-24362
b_degradation_a,-0.22,0.02,-12.20,0.00,0.03,-8.28,0.00,2.38,23767
b_degradation_b,-0.27,0.06,-4.26,0.00,0.10,-2.64,0.01,0.71,7114
b_packreplace_a,-0.07,0.09,-0.72,0.47,0.12,-0.59,0.55,0.75,7514
b_packreplace_b,-0.99,0.33,-2.97,0.00,0.54,-1.85,0.06,2.65,26504
b_cellreplace_a,-0.18,0.09,-2.00,0.05,0.11,-1.63,0.10,2.03,20322
b_cellreplace_b,-1.16,0.33,-3.57,0.00,0.53,-2.20,0.03,3.11,31065
b_price_a,-0.09,0.05,-1.82,0.07,0.07,-1.38,0.17,,
b_price_b,-0.37,0.12,-3.20,0.00,0.14,-2.73,0.01,,
delta_a,0.00,NA,NA,NA,NA,NA,NA,,
delta_b,-0.61,1.43,-0.43,0.67,1.60,-0.38,0.70,,
gamma_EVB_environ_a,0.00,NA,NA,NA,NA,NA,NA,,
gamma_EVB_function_a,0.00,NA,NA,NA,NA,NA,NA,,
gamma_EV_benefit_a,0.00,NA,NA,NA,NA,NA,NA,,
gamma_EV_anxiety_a,0.00,NA,NA,NA,NA,NA,NA,,
gamma_knowledge_gas_a,0.00,NA,NA,NA,NA,NA,NA,,
gamma_knowledge_plugin_a,0.00,NA,NA,NA,NA,NA,NA,,
gamma_knowledge_ev_a,0.00,NA,NA,NA,NA,NA,NA,,
gamma_knowledge_subsidy_a,0.00,NA,NA,NA,NA,NA,NA,,
gamma_EVB_environ_b,-0.42,0.32,-1.33,0.18,0.33,-1.27,0.20,,
gamma_EVB_function_b,0.23,0.31,0.72,0.47,0.35,0.65,0.51,,
gamma_EV_benefit_b,-0.41,0.24,-1.70,0.09,0.26,-1.61,0.11,,
gamma_EV_anxiety_b,0.50,0.23,2.19,0.03,0.23,2.19,0.03,,
gamma_knowledge_gas_b,-0.51,0.41,-1.26,0.21,0.43,-1.19,0.23,,
gamma_knowledge_plugin_b,0.31,0.27,1.14,0.26,0.26,1.18,0.24,,
gamma_knowledge_ev_b,-0.36,0.43,-0.83,0.40,0.42,-0.86,0.39,,
gamma_knowledge_subsidy_b,0.43,0.48,0.90,0.37,0.49,0.88,0.38,,