"asc_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","asc_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","delta_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","logLike"
-0.134791789095524,0.0756341906463077,-0.263897476096814,0.108855570916077,0.278588932384639,0.00263566518887916,0.16731241223147,0.191360709962087,0.236991518647043,-0.504074272029533,-0.818162191454827,-0.421316056876804,0.243014300183733,0.545311030766032,0.747653613812115,-0.658724164251448,-0.398933035242982,-0.0249083185086391,-3291.46250765923
-0.339379410510877,0.059542806656025,-0.18710367986923,0.0699528639988192,0.213942670764796,-0.0134407160701351,0.159620376626753,0.115506825014398,0.208356279338169,-0.437920425598178,-0.740580119695119,-0.265432814854606,0.0731466581047398,0.525331224248691,0.504467367821511,-0.720175713765908,-0.283977880603143,0.04309384587196,-3134.69960132355
-1.22646480979868,-0.0128248811129504,-0.0728787817160657,0.0149042107459247,0.0737667692035908,-0.125111323049856,0.0243885738303989,0.539667410099194,0.125723466475747,-0.0638684479933064,-0.562267539451404,-0.224426716945927,-0.175985128538507,0.372537233375554,0.300738975155184,-0.563121935892679,-0.128949483351162,0.10916188434232,-2899.0742367043
-3.3297791404707,-0.149222600622419,0.151640891360779,-0.124641830422797,-0.202074558114896,-0.37324168500997,-0.229765673553524,0.511499864164733,-0.149722932907264,0.776286007119946,-0.307123776025485,-0.187399036287469,-0.303836532669092,-0.119256587285548,0.23935194119783,-0.662249932564494,-0.168787565078004,0.38220001682272,-2591.89310472782
-5.52122423086558,-0.219367855639307,0.36052006386629,-0.21839900826829,-0.33053301717571,-0.437574767427706,-0.592918057064058,-0.0533542353884742,-0.248848461917019,0.87098853509683,-0.421285376367319,-0.676671450246409,-0.55086280960282,-0.2160085303464,-0.527207666204792,-0.497522760243349,0.470238630797884,0.57027228891622,-2525.3954225316
-5.5965123773579,-0.191740932002762,0.373665505217925,-0.229918462436577,-0.28672096703782,-0.371920862145291,-0.655428535050616,-0.193458322846945,-0.237577726970363,0.87797051990747,-0.426425810790085,-0.780141188141829,-0.690459682827415,-0.27991953741034,-0.0346407331547436,-0.587086674606726,0.181175911785078,0.400662471238316,-2508.47461051069
-5.81765892920815,-0.167795488283427,0.41233169302398,-0.247949827678641,-0.208326115838842,-0.279496206040077,-0.753314690632071,-0.492594318023975,-0.213273817992032,0.785551603144837,-0.386099415209295,-0.840916240175734,-0.922762813208171,-0.362990539022228,0.255788039135373,-0.596863777822204,-0.121990780794492,0.334710369057721,-2499.49344796238
-5.64772637631434,-0.168984209549116,0.423674218541093,-0.249805779772008,-0.188325423887831,-0.262702183356802,-0.739476363279826,-0.681698749245795,-0.212860706716441,0.724574841563286,-0.360296749362577,-0.905395522251855,-1.01874104492838,-0.409094711008587,0.174367561646933,-0.581778672739025,-0.135788888393902,0.368855814213651,-2497.40622632056
-5.42306219048141,-0.172902508834303,0.446799001147281,-0.253790495089478,-0.167454616524732,-0.243831331277154,-0.722112986829609,-1.14171124148819,-0.225830325927544,0.602669764913725,-0.320368769757076,-1.05933063299557,-1.19819513035381,-0.491512457864629,-0.0612216193382167,-0.535099766373504,-0.189779750657049,0.392262033060038,-2495.84566993176
-5.46032437860397,-0.174372881310936,0.445828459853167,-0.252914693705452,-0.177456793054626,-0.252979316750169,-0.723059810317506,-1.19231400746731,-0.229349615948005,0.586170406597283,-0.321749161558098,-1.07780218112109,-1.1831192766769,-0.47346734828812,-0.060818594493687,-0.530196383084505,-0.18566522701103,0.384423165013636,-2495.6907924765
-5.48836607283842,-0.174519824175241,0.445056056990331,-0.252687701202421,-0.182075427412306,-0.257262731466183,-0.725373095612077,-1.2170305997247,-0.234234896717065,0.591034580884699,-0.324824129879447,-1.10018579245241,-1.18990690132169,-0.473315791711847,-0.0626442896055424,-0.529272988675683,-0.194130158298558,0.370641657017309,-2495.65783340196
-5.4919941773224,-0.174825305118927,0.444616336790976,-0.252528104661067,-0.182558971434141,-0.258125045357135,-0.725209655354213,-1.23147152130689,-0.234995008758015,0.588388851302424,-0.32418211549947,-1.10580214308992,-1.19332898073401,-0.473727719279821,-0.0634126021904414,-0.528142147225539,-0.188776508096559,0.377871951619933,-2495.65161531571
-5.48927224616376,-0.174968391195448,0.444214864108294,-0.252305613552838,-0.182674943810321,-0.258758525467424,-0.724290071222826,-1.25135187894135,-0.236183585914454,0.585822909689589,-0.32332108938786,-1.11689074115144,-1.20004682605137,-0.475572484556944,-0.0671008750927743,-0.527049434276805,-0.192324062262986,0.375867575021023,-2495.64811279981
-5.49186513553881,-0.174953103159026,0.444137772045946,-0.252326398122055,-0.182272657443082,-0.258285376953802,-0.724601693209059,-1.25088771098918,-0.235879187034191,0.586611717667867,-0.323279753139418,-1.11822612142346,-1.20206216380498,-0.475840740041816,-0.0642385955778419,-0.527558448267971,-0.192681848904618,0.375625828660031,-2495.64767915073
-5.49188401886576,-0.1749338491287,0.444034183482739,-0.252325577528582,-0.18176137244849,-0.257871636870271,-0.724562878743915,-1.24884491651648,-0.235486345117118,0.587361333238236,-0.323164443852005,-1.11852982599622,-1.20269716673511,-0.476109088686,-0.0626789320517232,-0.527717923630518,-0.19320597423241,0.375314614452793,-2495.64755527559
-5.4916925609274,-0.174934697851355,0.444038147482127,-0.25233164276732,-0.18167510556358,-0.257801158237841,-0.724531241386928,-1.24822239727745,-0.235397621358054,0.587492914155859,-0.323142330900842,-1.11836563968571,-1.20251963827873,-0.47617487772873,-0.0626326234698153,-0.527707689022031,-0.193207557969066,0.375258497331524,-2495.64755031059
-5.49159727119142,-0.174935652001393,0.444040635672693,-0.252333303122383,-0.181663686639269,-0.257798100763529,-0.724513613028504,-1.24814067964218,-0.235381946878262,0.587514420552593,-0.323142174683972,-1.11831674654134,-1.20242952285312,-0.476202362526675,-0.062660911387068,-0.527698035730683,-0.193175943734437,0.375239989866616,-2495.64754989376
-5.49158970303298,-0.174935368966708,0.444041986832062,-0.252333878926164,-0.18166564159407,-0.257801041793095,-0.72451218505308,-1.24818809739935,-0.235384026057436,0.587509708440197,-0.323144125588638,-1.11831283086597,-1.20241691950175,-0.4762118502336,-0.0626704334688574,-0.527696278460788,-0.193167421223112,0.375238235323589,-2495.64754986814
