"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_no_choice",0,NA,NA,NA,NA,NA,NA
"b_mileage_a",-0.316727424861361,0.0961602093829322,-3.29374724632804,0.000988613522867388,0.111909981914821,-2.83019815964617,0.00465191822105426
"b_range_year0_a",0.443380718618521,0.164402964746528,2.69691437318124,0.00699852637122977,0.25275695967684,1.75417808152702,0.0793999977124527
"b_degradation_a",-0.332527963733007,0.0566716804440041,-5.86762137857496,4.4209136351725e-09,0.0673949424022629,-4.93401955518018,8.05543693971345e-07
"b_packreplace_a",-0.105089802374332,0.346870002807936,-0.302965957054872,0.761915805383848,0.516578011923966,-0.203434524793131,0.838795417078282
"b_cellreplace_a",-0.104907213635507,0.352725581247648,-0.297418784496529,0.76614680423424,0.556323938737818,-0.188572172309391,0.850428144760504
"b_price_a",-0.0967865253858215,0.109526741744651,-0.883679399606979,0.376869303894437,0.163867427039057,-0.590639196176264,0.554762196340855
"b_mileage_b",-0.178034052481279,0.0512547785066642,-3.47351130310963,0.000513695725997909,0.0696165771083743,-2.55735142226437,0.0105472604198948
"b_range_year0_b",0.63018740087683,0.0875402753609682,7.19882817683955,6.07291994469961e-13,0.0943298484789004,6.68067860850842,2.37838637673349e-11
"b_degradation_b",-0.00688343862984997,0.0288645416298582,-0.23847385896922,0.811513588084666,0.0287967516831394,-0.239035246252453,0.811078252244939
"b_packreplace_b",0.0145203311409147,0.140752644687809,0.103162048380127,0.917834360161964,0.174175672961154,0.0833660114185586,0.933560513365897
"b_cellreplace_b",-0.0780114126323195,0.143240267910492,-0.544619287371534,0.586015386696718,0.181656900855365,-0.429443705496396,0.667600353326575
"b_price_b",0.234797994321124,0.0950295097415267,2.47079033617828,0.0134814833735957,0.108575461468073,2.16253277809155,0.0305771333801583
"b_mileage_c",0.0274150331245309,0.155078775804721,0.176781335693883,0.859680150100805,0.208838890107586,0.131273600958172,0.895558874432809
"b_range_year0_c",1.36091859350647,0.31629465550519,4.30269234658041,1.68735074828064e-05,0.43739822867324,3.11139484408646,0.00186205779347204
"b_degradation_c",-0.1822949765679,0.0781380077177981,-2.33298726051826,0.0196488139526874,0.0814307262473119,-2.2386509978341,0.0251786332359356
"b_packreplace_c",-3.28367799259947,0.54357493557922,-6.0408929434917,1.53263646218704e-09,0.694248090846773,-4.72983366593687,2.24703862850006e-06
"b_cellreplace_c",-3.07176984239314,0.580215057019674,-5.29419187804528,1.19543863696947e-07,0.767460505393999,-4.00251194791601,6.26735017816848e-05
"b_price_c",-0.516775568009469,0.189679853008144,-2.72446208605655,0.00644063246987137,0.249923408787938,-2.06773575358824,0.0386648779235306
"b_mileage_d",0.0855708039680956,0.05907138421534,1.44859994572252,0.147449336374182,0.0800979838864266,1.06832656474137,0.285373229596967
"b_range_year0_d",1.47296940404659,0.124780760641681,11.804459248941,0,0.14723570539797,10.0041589780497,0
"b_degradation_d",-0.567538221692239,0.0544578194431267,-10.4216112120492,0,0.0658599864689895,-8.61734494827852,0
"b_packreplace_d",0.153877385819021,0.16403459185704,0.938078877613382,0.348203875864401,0.190270051673828,0.808731508008453,0.418669600506514
"b_cellreplace_d",-0.0358983463481858,0.166472942098092,-0.215640727530563,0.829267806621087,0.201896710464204,-0.177805503941336,0.858875724709497
"b_price_d",-0.189521297588407,0.0875353604977222,-2.16508273354674,0.0303813500063563,0.12135659269433,-1.56168934361702,0.118361190415726
"delta_a",0,NA,NA,NA,NA,NA,NA
"delta_b",0.991197590605036,0.24523320447009,4.04185718955496,5.30295268892367e-05,0.252358430793588,3.92773717718893,8.57488426617703e-05
"delta_c",-0.438163612733525,0.417167472060038,-1.05033024403798,0.293566304663478,0.567153100933328,-0.772566723187207,0.43977884466372
"delta_d",1.14195351458389,0.25296532108179,4.5142690298433,6.35355224187784e-06,0.285810376836384,3.99549354094172,6.45596174013718e-05
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_a",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_function_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_b",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_b",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_function_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_b",0.540668067564379,0.202158544899256,2.67447546099926,0.00748462535437922,0.215762754043335,2.50584522783662,0.0122159079293325
"gamma_EV_anxiety_b",-0.588625044413216,0.175033844746716,-3.36292129824942,0.000771223472846527,0.169790947106678,-3.46676341962678,0.000526765302431231
"gamma_used_bev_c",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_c",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_function_c",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_c",-0.127918425548648,0.28044092331682,-0.456133234892169,0.648294172346653,0.377367363120752,-0.338975857612031,0.734627917423628
"gamma_EV_anxiety_c",-0.0413658838714739,0.238339054463285,-0.173558982872637,0.862212069619703,0.218266954649819,-0.189519682160958,0.849685530485683
"gamma_used_bev_d",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_d",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_function_d",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_d",0.634263536873771,0.193811121474164,3.27258586632926,0.00106568497059301,0.189095514210905,3.35419663190083,0.000795957788964685
"gamma_EV_anxiety_d",-0.293995360083768,0.180305094871166,-1.63054383068786,0.102986609482135,0.182256468782487,-1.61308601032228,0.106725822769582
